N,Mode,Train_MAPE,Valid_MAPE,Extended_MAPE,Total_Drift,Quad_a,Coef_a,Coef_b,Num_Eigenvals
220,uniform,5.228168,1.366912,4.637172,4.348555,0.031129,958.829075,-191.092695,73
240,uniform,5.398042,1.085340,4.436316,1.350827,0.033624,1037.236526,-209.264087,80
260,uniform,5.538549,1.564445,4.498950,-2.517930,0.035109,1119.106721,-225.487552,87
280,uniform,5.579103,2.537222,4.204365,-2.611510,0.035554,1203.114167,-245.069443,93
300,uniform,5.598757,3.653109,3.815198,-1.393498,0.035815,1287.530393,-264.750001,100
220,sublattice,3.612656,7.314796,14.497609,-15.613156,-0.018958,480.060311,-55.042193,73
240,sublattice,3.345817,6.227344,13.286094,-14.112703,-0.017836,516.586975,-61.942797,80
260,sublattice,4.010951,6.367182,13.613730,-13.491746,-0.023592,525.678496,-59.275161,87
280,sublattice,3.730169,5.568096,12.537203,-11.809098,-0.022448,560.510611,-65.882576,93
300,sublattice,3.474096,4.897744,11.511603,-10.209646,-0.021415,594.837841,-72.374290,100
220,center,5.305140,2.030352,1.851740,1.696062,0.026471,917.917071,-180.782342,73
240,center,5.926788,1.997756,1.269187,-0.957791,0.031791,989.077519,-197.142431,80
260,center,6.302154,1.521183,1.464666,-5.060735,0.036593,1066.049836,-212.192087,87
280,center,6.381568,1.561799,1.501226,-5.842400,0.037916,1146.625092,-230.906274,93
300,center,6.395623,1.959505,1.367544,-4.376467,0.039550,1226.473425,-249.442050,100
220,ramp,5.227905,1.364331,4.610660,4.314692,0.031124,958.619979,-191.061940,73
240,ramp,5.398314,1.085379,4.414434,1.327139,0.033626,1037.036964,-209.233812,80
260,ramp,5.538653,1.560071,4.482459,-2.534940,0.035110,1118.926621,-225.460546,87
280,ramp,5.578999,2.533765,4.191659,-2.626980,0.035554,1202.947467,-245.044436,93
300,ramp,5.598754,3.651111,3.805267,-1.403225,0.035815,1287.377068,-264.727229,100
