N,Mode,Train_MAPE,Valid_MAPE,Extended_MAPE,Total_Drift,Quad_a,Coef_a,Coef_b,Num_Eigenvals
220,uniform,5.228168,1.366912,4.637172,4.348555,0.031129,958.829075,-191.092695,73
230,uniform,5.396014,1.207025,4.535636,2.594209,0.033387,996.014117,-198.258490,77
240,uniform,5.398042,1.085340,4.436316,1.350827,0.033624,1037.236526,-209.264087,80
250,uniform,5.479405,1.208834,4.468834,-0.565885,0.034487,1077.765238,-217.272481,83
260,uniform,5.538549,1.564445,4.498950,-2.517930,0.035109,1119.106721,-225.487552,87
270,uniform,5.536669,1.763355,4.268900,-3.222624,0.035129,1161.083510,-236.682068,90
280,uniform,5.579103,2.537222,4.204365,-2.611510,0.035554,1203.114167,-245.069443,93
290,uniform,5.611905,3.436970,4.007534,-1.325933,0.035883,1245.559969,-253.560080,97
300,uniform,5.598757,3.653109,3.815198,-1.393498,0.035815,1287.530393,-264.750001,100
310,uniform,5.621667,4.380578,4.027591,-0.689175,0.036052,1330.292794,-273.317949,103
320,uniform,5.639283,5.181494,4.210548,1.076625,0.036239,1373.315124,-281.949138,107
330,uniform,5.627624,5.385414,4.146976,1.291855,0.036166,1415.325588,-293.149737,110
340,uniform,5.641850,6.074698,4.680589,2.457132,0.036313,1458.562589,-301.832925,113
350,uniform,5.653058,6.727970,5.306981,3.680182,0.036430,1501.980486,-310.559176,117
