Zero_Index,True_Zero,Predicted,Error,Error_Percent,Set
1,14.1347251417,22.3501228724,8.2153977307,58.1220904427,Train
2,21.0220396388,25.1219089809,4.0998693421,19.5027191110,Train
3,25.0108575801,27.9121700368,2.9013124566,11.6002118173,Train
4,30.4248761259,30.7547748657,0.3298987399,1.0843059427,Train
5,32.9350615877,33.5765793940,0.6415178062,1.9478263447,Train
6,37.5861781588,36.4164928146,-1.1696853443,3.1120092586,Train
7,40.9187190121,39.2667387241,-1.6519802881,4.0372238622,Train
8,43.3270732809,42.1216893851,-1.2053838958,2.7820570478,Train
9,48.0051508812,44.9857764369,-3.0193744443,6.2896884789,Train
10,49.7738324777,47.8558814158,-1.9179510619,3.8533320952,Train
11,52.9703214777,50.7315551149,-2.2387663628,4.2264541735,Train
12,56.4462476971,53.6120069865,-2.8342407106,5.0211321854,Train
13,59.3470440026,56.4959006832,-2.8511433194,4.8041875839,Train
14,60.8317785246,59.3821271247,-1.4496513999,2.3830495098,Train
15,65.1125440481,62.2692947557,-2.8432492924,4.3666690251,Train
16,67.0798105295,65.1558915161,-1.9239190134,2.8681044240,Train
17,69.5464017112,68.0402274435,-1.5061742677,2.1657112814,Train
18,72.0671576745,70.9204978025,-1.1466598720,1.5910990651,Train
19,75.7046906991,73.7946130361,-1.9100776630,2.5230638225,Train
20,77.1448400689,76.6598373043,-0.4850027646,0.6286911271,Train
21,79.3373750202,79.5140095995,0.1766345793,0.2226372869,Train
22,82.9103808541,82.3552361831,-0.5551446710,0.6695719707,Train
23,84.7354929805,85.1758447255,0.4403517449,0.5196780351,Train
24,87.4252746131,87.9701119758,0.5448373627,0.6232034902,Train
25,88.8091112076,90.7507642403,1.9416530327,2.1863218833,Train
26,92.4918992706,93.4988255747,1.0069263041,1.0886643177,Train
27,94.6513440405,96.1408973166,1.4895532761,1.5737264919,Train
28,95.8706342282,98.7290002536,2.8583660253,2.9814823364,Train
29,98.8311942182,101.2830879344,2.4518937162,2.4808905079,Train
30,101.3178510057,102.9280432598,1.6101922540,1.5892483289,Train
31,103.7255380405,104.0848464314,0.3593083909,0.3464030148,Valid
32,105.4466230523,105.1219460299,-0.3246770224,0.3079065152,Valid
33,107.1686111843,106.7305787667,-0.4380324176,0.4087320091,Valid
34,111.0295355432,109.3010829995,-1.7284525437,1.5567502244,Valid
35,111.8746591770,112.4905925717,0.6159333947,0.5505566669,Valid
36,114.3202209155,114.4747880796,0.1545671641,0.1352054456,Valid
37,116.2266803209,115.6883222947,-0.5383580261,0.4631965953,Valid
38,118.7907828660,116.7860021366,-2.0047807294,1.6876568039,Valid
39,121.3701250024,118.2055349368,-3.1645900656,2.6073879923,Valid
40,122.9468292936,120.7185774939,-2.2282517996,1.8123702843,Valid
41,124.2568185543,124.7410651155,0.4842465612,0.3897142763,Valid
42,127.5166838796,126.5267776238,-0.9899062558,0.7762954821,Valid
43,129.5787042000,127.2566654905,-2.3220387094,1.7919909940,Valid
44,131.0876885309,128.2636786690,-2.8240098619,2.1542906840,Valid
45,133.4977372030,129.7013593578,-3.7963778452,2.8437769244,Valid
46,134.7565097534,133.3491732184,-1.4073365350,1.0443551392,Valid
47,138.1160420545,136.6156752827,-1.5003667718,1.0863088382,Valid
48,139.7362089521,138.4798614651,-1.2563474870,0.8990851380,Valid
49,141.1237074040,140.8520986563,-0.2716087477,0.1924614600,Valid
50,143.1118458076,144.8087603987,1.6969145911,1.1857261581,Valid
51,146.0009824868,146.7405826139,0.7396001271,0.5065720206,Valid
52,147.4227653426,148.7503197250,1.3275543824,0.9005083979,Valid
53,150.0535204208,152.4968882733,2.4433678525,1.6283309086,Valid
54,150.9252576122,154.5042713758,3.5790137636,2.3713815833,Valid
55,153.0246938112,156.5237162602,3.4990224490,2.2865737299,Valid
56,156.1129092942,159.8247267890,3.7118174948,2.3776492998,Valid
57,157.5975918176,161.9025196615,4.3049278439,2.7315949402,Valid
58,158.8499881714,163.9820629764,5.1320748050,3.2307681380,Valid
