Q_GeV,alpha_s_measured,sigma,source,QCD_pred,GOE_pred,GUE_pred,QCD_resid,GOE_resid,GUE_resid
200.000000,0.113000,0.005000,LHC top,0.115788,0.097630,0.097682,-0.002788,0.015370,0.015318
173.000000,0.114000,0.005000,top mass,0.117473,0.100831,0.100882,-0.003473,0.013169,0.013118
91.187600,0.117900,0.001000,Z pole (PDG),0.127281,0.116270,0.116264,-0.009381,0.001630,0.001636
80.400000,0.119000,0.005000,W boson,0.129373,0.119573,0.119552,-0.010373,-0.000573,-0.000552
50.000000,0.125000,0.005000,LEP jets,0.137810,0.132901,0.132852,-0.012810,-0.007901,-0.007852
34.000000,0.130000,0.005000,e+e- thrust,0.145365,0.144807,0.144787,-0.015365,-0.014807,-0.014787
20.000000,0.150000,0.005000,DIS (HERA),0.156955,0.162952,0.163016,-0.006955,-0.012952,-0.013016
15.000000,0.160000,0.005000,DIS,0.163901,0.173723,0.173815,-0.003901,-0.013723,-0.013815
10.000000,0.177000,0.005000,DIS (PDG),0.174599,0.190122,0.190197,0.002401,-0.013122,-0.013197
7.000000,0.195000,0.005000,DIS,0.185006,0.205823,0.205832,0.009994,-0.010823,-0.010832
5.000000,0.216000,0.005000,DIS (PDG),0.195802,0.221822,0.221763,0.020198,-0.005822,-0.005763
4.180000,0.182000,0.010000,b quark mass,0.201982,0.230841,0.230759,-0.019982,-0.048841,-0.048759
3.500000,0.238000,0.010000,τ decay,0.210628,0.240142,0.240055,0.027372,-0.002142,-0.002055
3.000000,0.255000,0.010000,τ decay (PDG),0.218638,0.248520,0.248445,0.036362,0.006480,0.006555
2.500000,0.280000,0.010000,τ decay,0.228772,0.258808,0.258764,0.051228,0.021192,0.021236
2.000000,0.303000,0.010000,τ decay (PDG),0.242259,0.271981,0.271995,0.060741,0.031019,0.031005
1.777000,0.328000,0.015000,τ mass,0.249938,0.279229,0.279279,0.078062,0.048771,0.048721
1.500000,0.360000,0.020000,lattice QCD,0.261656,0.289957,0.290057,0.098344,0.070043,0.069943
1.270000,0.385000,0.020000,charm mass,0.274060,0.300896,0.301037,0.110940,0.084104,0.083963
1.000000,0.420000,0.030000,lattice QCD,0.298734,0.317330,0.317501,0.121266,0.102670,0.102499
